,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
50,2.0,01/01/2021 01:04:25 AM,01/01/2021 01:17:37 AM,N,1.0,74,168,1.0,2.86,12.0,0.5,0.5,0.0,0.0,,0.3,13.3,1.0,1.0,0.0
51,2.0,01/01/2021 01:54:13 AM,01/01/2021 02:12:35 AM,N,1.0,235,167,1.0,3.56,14.0,0.5,0.5,3.06,0.0,,0.3,18.36,1.0,1.0,0.0
52,2.0,01/01/2021 12:57:52 AM,01/01/2021 01:00:30 AM,N,1.0,116,42,1.0,0.59,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2.0,1.0,0.0
53,2.0,01/01/2021 01:54:51 AM,01/01/2021 02:15:35 AM,N,5.0,74,94,1.0,5.82,18.0,0.0,0.0,0.0,0.0,,0.3,18.3,2.0,2.0,0.0
54,2.0,01/01/2021 02:07:27 AM,01/01/2021 02:18:09 AM,N,1.0,41,143,1.0,2.2,10.0,0.5,0.5,0.0,0.0,,0.3,14.05,2.0,1.0,2.75
55,2.0,01/01/2021 02:09:05 AM,01/01/2021 02:15:23 AM,N,1.0,75,141,1.0,1.96,7.5,0.5,0.5,2.0,0.0,,0.3,13.55,1.0,1.0,2.75
56,2.0,01/01/2021 02:27:53 AM,01/01/2021 02:57:11 AM,N,1.0,74,232,1.0,8.7,30.0,0.5,0.5,0.0,0.0,,0.3,34.05,2.0,1.0,2.75
57,2.0,01/01/2021 02:18:14 AM,01/01/2021 02:26:28 AM,N,1.0,168,74,1.0,2.14,9.0,0.5,0.5,0.0,0.0,,0.3,10.3,2.0,1.0,0.0
58,1.0,01/01/2021 02:08:51 AM,01/01/2021 02:37:27 AM,N,1.0,37,167,1.0,0.0,34.2,0.0,0.5,0.0,6.12,,0.3,41.12,1.0,1.0,0.0
59,1.0,01/01/2021 02:45:15 AM,01/01/2021 02:59:07 AM,N,1.0,167,78,1.0,0.0,14.2,0.0,0.5,0.0,0.0,,0.3,15.0,1.0,1.0,0.0
60,2.0,01/01/2021 02:28:37 AM,01/01/2021 02:36:09 AM,N,1.0,256,17,1.0,1.3,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,2.0,1.0,0.0
61,2.0,01/01/2021 02:46:42 AM,01/01/2021 03:03:38 AM,N,1.0,256,164,1.0,5.83,19.5,0.5,0.5,0.0,0.0,,0.3,23.55,2.0,1.0,2.75
62,2.0,01/01/2021 02:10:44 AM,01/01/2021 02:10:57 AM,N,1.0,28,28,1.0,0.0,2.5,0.5,0.5,10.0,0.0,,0.3,13.8,1.0,1.0,0.0
